Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",64.665288,-48.041400,90.000000,top
"C2","0.1uF","C_0805_2012Metric",57.209292,-47.960160,90.000000,top
"C4","0.1uF","C_0805_2012Metric",67.190620,-45.214380,90.000000,top
"C5","10uF","C_0805_2012Metric",53.289160,-57.929660,180.000000,top
"D1","D_Small","D_SOD-123",74.348340,-31.732220,0.000000,top
"D2","D_Small","D_SOD-123",131.636352,-31.732220,0.000000,top
"D3","D_Small","D_SOD-123",83.896342,-31.732220,0.000000,top
"D4","D_Small","D_SOD-123",141.184360,-31.732220,0.000000,top
"D5","D_Small","D_SOD-123",93.444344,-31.732220,0.000000,top
"D6","D_Small","D_SOD-123",112.540348,-31.732220,0.000000,top
"D7","D_Small","D_SOD-123",102.992346,-31.732220,0.000000,top
"D8","D_Small","D_SOD-123",122.088350,-31.732220,0.000000,top
"D9","PRTR5V0U2X","SOT-143",60.974180,-43.002720,180.000000,top
"F1","500mA","Fuse_1206_3216Metric",54.543960,-45.526840,90.000000,top
"R1","10k","R_0805_2012Metric",59.596680,-70.579160,270.000000,top
"R2","22","R_0805_2012Metric",62.169956,-48.024300,90.000000,top
"R3","22","R_0805_2012Metric",59.704624,-48.024300,90.000000,top
"R4","5.1k","R_0805_2012Metric",66.441320,-39.502600,90.000000,top
"R5","22","R_0805_2012Metric",64.335660,-43.002720,90.000000,top
"R6","10k","R_0805_2012Metric",62.362080,-70.550920,90.000000,top
"R7","22","R_0805_2012Metric",57.670700,-43.002720,90.000000,top
"R8","5.1k","R_0805_2012Metric",54.764940,-39.710880,90.000000,top
"SW1","SW_Push","SKQG-1155865",60.974180,-75.618220,0.000000,top
"U1","ATmega32U2-AU","TQFP-32_7x7mm_P0.8mm",60.974180,-56.255800,0.000000,top
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",60.974180,-25.767560,180.000000,top
"Y1","16MHz","Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm",53.672740,-53.080920,270.000000,top
