Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",64.287400,-44.541400,90.000000,top
"C4","0.1uF","C_0805_2012Metric",57.683400,-44.541400,90.000000,top
"C5","10uF","C_0805_2012Metric",53.675280,-54.124820,90.000000,top
"D1","D_Small","D_SOD-123",74.348340,-31.732220,0.000000,top
"D2","D_Small","D_SOD-123",131.636352,-31.732220,0.000000,top
"D3","D_Small","D_SOD-123",83.896342,-31.732220,0.000000,top
"D4","D_Small","D_SOD-123",141.184360,-31.732220,0.000000,top
"D5","D_Small","D_SOD-123",93.444344,-31.732220,0.000000,top
"D6","D_Small","D_SOD-123",112.540348,-31.732220,0.000000,top
"D7","D_Small","D_SOD-123",102.992346,-31.732220,0.000000,top
"D8","D_Small","D_SOD-123",122.088350,-31.732220,0.000000,top
"F1","500mA","Fuse_1206_3216Metric",54.260131,-45.733351,135.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",60.912400,-29.489400,180.000000,top
"R1","10k","R_0805_2012Metric",55.152920,-62.994540,0.000000,top
"R2","22","R_0805_2012Metric",61.925200,-44.524300,90.000000,top
"R3","22","R_0805_2012Metric",59.969400,-44.524300,90.000000,top
"R4","5.1k","R_0805_2012Metric",63.179960,-40.324400,90.000000,top
"R5","5.1k","R_0805_2012Metric",58.422540,-40.324400,90.000000,top
"R6","10k","R_0805_2012Metric",61.241300,-59.309000,0.000000,top
"SW1","SW_Push","SKQG-1155865",61.620400,-64.897000,0.000000,top
"U1","ATmega32U2-AU","TQFP-32_7x7mm_P0.8mm",61.722000,-52.755800,0.000000,top
"Y1","16MHz","Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm",53.416200,-50.419000,270.000000,top
